Saison,Verletzung,von,bis,Spiele_verpasst,Quelle,Spieler,Team
24/25,Prellung,18.04.2025,23.04.2025,6 Tage,Transfermarkt,Leon Goretzka,FC Bayern
24/25,Oberschenkelzerrung,26.01.2025,04.02.2025,10 Tage,Transfermarkt,Leon Goretzka,FC Bayern
23/24,Krank,15.12.2023,22.12.2023,8 Tage,Transfermarkt,Leon Goretzka,FC Bayern
23/24,muskuläre Probleme,10.11.2023,13.11.2023,4 Tage,Transfermarkt,Leon Goretzka,FC Bayern
23/24,Handbruch,22.10.2023,02.11.2023,12 Tage,Transfermarkt,Leon Goretzka,FC Bayern
22/23,Oberschenkelprobleme,26.01.2023,31.01.2023,6 Tage,Transfermarkt,Leon Goretzka,FC Bayern
22/23,Corona-Virus,19.09.2022,26.09.2022,8 Tage,Transfermarkt,Leon Goretzka,FC Bayern
22/23,Knie-OP,18.07.2022,25.08.2022,39 Tage,Transfermarkt,Leon Goretzka,FC Bayern
21/22,Trainingsrückstand,21.03.2022,28.03.2022,8 Tage,Transfermarkt,Leon Goretzka,FC Bayern
21/22,Hüftprobleme,29.11.2021,14.03.2022,106 Tage,Transfermarkt,Leon Goretzka,FC Bayern
21/22,Erkältung,18.10.2021,25.10.2021,8 Tage,Transfermarkt,Leon Goretzka,FC Bayern
21/22,Schonung,23.08.2021,26.08.2021,4 Tage,Transfermarkt,Leon Goretzka,FC Bayern
20/21,Muskelfaserriss,06.05.2021,17.06.2021,43 Tage,Transfermarkt,Leon Goretzka,FC Bayern
20/21,Zerrung,08.04.2021,15.04.2021,8 Tage,Transfermarkt,Leon Goretzka,FC Bayern
20/21,Wadenprobleme,11.02.2021,18.02.2021,8 Tage,Transfermarkt,Leon Goretzka,FC Bayern
24/25,Muskelfaserriss,06.03.2025,30.04.2025,56 Tage,Transfermarkt,Manuel Neuer,FC Bayern
24/25,Rippenbruch,06.12.2024,31.12.2024,26 Tage,Transfermarkt,Manuel Neuer,FC Bayern
24/25,Oberschenkelprobleme,18.09.2024,26.09.2024,9 Tage,Transfermarkt,Manuel Neuer,FC Bayern
23/24,Infekt,27.05.2024,31.05.2024,5 Tage,Transfermarkt,Manuel Neuer,FC Bayern
23/24,Muskelfaserriss,20.03.2024,08.04.2024,20 Tage,Transfermarkt,Manuel Neuer,FC Bayern
23/24,Trainingsrückstand,18.10.2023,25.10.2023,8 Tage,Transfermarkt,Manuel Neuer,FC Bayern
22/23,Unterschenkelbruch,10.12.2022,17.10.2023,312 Tage,Transfermarkt,Manuel Neuer,FC Bayern
22/23,Schultereckgelenksprellung,10.10.2022,03.11.2022,25 Tage,Transfermarkt,Manuel Neuer,FC Bayern
22/23,Corona-Virus,19.09.2022,26.09.2022,8 Tage,Transfermarkt,Manuel Neuer,FC Bayern
21/22,Knie-OP,03.02.2022,07.03.2022,33 Tage,Transfermarkt,Manuel Neuer,FC Bayern
21/22,Corona-Virus,30.12.2021,13.01.2022,15 Tage,Transfermarkt,Manuel Neuer,FC Bayern
21/22,Kapselverletzung,30.08.2021,02.09.2021,4 Tage,Transfermarkt,Manuel Neuer,FC Bayern
21/22,Kapselverletzung,23.08.2021,26.08.2021,4 Tage,Transfermarkt,Manuel Neuer,FC Bayern
18/19,Muskelfaserriss,15.04.2019,20.05.2019,36 Tage,Transfermarkt,Manuel Neuer,FC Bayern
18/19,Wadenprobleme,28.03.2019,08.04.2019,12 Tage,Transfermarkt,Manuel Neuer,FC Bayern
23/24,Adduktorenverletzung,25.09.2023,29.09.2023,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Hüftprobleme,27.10.2022,17.11.2022,22 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Magen-Darm-Grippe,20.10.2022,24.10.2022,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,muskuläre Probleme,13.10.2022,17.10.2022,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Erkältung,06.10.2022,10.10.2022,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
22/23,Corona-Virus,01.10.2022,06.10.2022,6 Tage,Transfermarkt,Thomas Müller,FC Bayern
21/22,Erkältung,25.04.2022,02.05.2022,8 Tage,Transfermarkt,Thomas Müller,FC Bayern
21/22,Corona-Virus,21.02.2022,28.02.2022,8 Tage,Transfermarkt,Thomas Müller,FC Bayern
21/22,Adduktorenbeschwerden,02.09.2021,06.09.2021,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
20/21,Corona-Virus,11.02.2021,25.02.2021,15 Tage,Transfermarkt,Thomas Müller,FC Bayern
17/18,Schonung,31.05.2018,04.06.2018,5 Tage,Transfermarkt,Thomas Müller,FC Bayern
17/18,Schonung,12.03.2018,12.03.2018,1 Tage,Transfermarkt,Thomas Müller,FC Bayern
17/18,Oberschenkelprobleme,05.02.2018,08.02.2018,4 Tage,Transfermarkt,Thomas Müller,FC Bayern
17/18,Muskelfaserriss,23.10.2017,27.11.2017,36 Tage,Transfermarkt,Thomas Müller,FC Bayern
17/18,Daumenverletzung,05.06.2017,03.07.2017,29 Tage,Transfermarkt,Thomas Müller,FC Bayern
